ThNa,ID,Video title,Order,Video publish time,Views,YouTube Premium views,Watch time (hours),YouTube Premium watch time (hours),Comments added,Shares,Likes (vs. dislikes) (%),Dislikes,Likes,Subscribers lost,Subscribers gained,Average percentage viewed (%),Average view duration,Subscribers,Impressions,Impressions click-through rate (%),End screen elements shown,End screen element clicks,Clicks per end screen element shown (%),Video Length,Has D&D In Title,Intro Length (seconds),Intro-to-Video Ratio,Retention rate (still watching after 30 sec),GM Tips,Mechanics,Ordered,Ranked,TTSB,DnD,Dungeon World,Blades in the Dark,Cairn,Perilous Wilds,Microscope
,PR7QGax-rq4,You're using fantasy races wrong.,1,"Feb 25, 2023",1233,235,72.5757,13.642,20,7,95.57,7,151,0,25,62.88,0:03:31,25,12002,6.44,927,22,2.37,0:05:37,No,0:00:12,3.56%,77.00%,1,0,0,0,0,0,0,0,0,0,0
,EBGgTFSflPE,You're over-prepping your adventures.,2,"Feb 25, 2023",748,164,79.8004,17.4341,7,3,98,2,98,0,14,51,0:06:24,14,10816,4.02,438,22,5.02,0:12:33,No,0:00:28,3.72%,72.00%,1,0,0,0,0,0,0,0,0,0,0
,0k9dJUi6pNI,Intellectual property is a myth.,3,"Feb 25, 2023",812,170,48.3815,9.6636,9,1,98.77,1,80,0,15,51.19,0:03:34,15,8536,5.76,444,3,0.68,0:06:59,No,0:00:29,6.92%,73.00%,1,0,0,0,0,0,0,0,0,0,0
,Mfi9wKIw_xo,This ONE mistake ruins player fun.,4,"Feb 25, 2023",1090,234,121.6756,27.4266,9,5,100,0,114,1,25,48.95,0:06:41,24,15581,4.06,502,8,1.59,0:13:41,No,0:00:30,3.65%,71.00%,1,0,0,0,0,0,0,0,0,0,0
,iBJuIIhzfyM,Fantasy isn't a real genre.,5,"Mar 4, 2023",657,121,34.2189,6.481,11,0,98.44,1,63,0,6,51.23,0:03:07,6,11571,3.59,397,8,2.02,0:06:06,No,0:00:27,7.38%,70.00%,1,0,0,0,0,0,0,0,0,0,0
,pTbJNhEDDpI,How to Prep YOUR Feywild,6,"Mar 11, 2023",321,67,21.1019,4.7495,8,0,97.06,1,33,0,6,49.82,0:03:56,6,6018,3.57,191,5,2.62,0:07:55,No,0:01:54,24.00%,71.00%,1,0,0,0,0,0,0,0,0,0,0
,lvhNkjuqHsw,Dungeon World changed my GMing.,7,"Mar 18, 2023",3027,615,288.9541,65.1375,16,15,100,0,268,1,72,48.27,0:05:43,71,39921,5.02,1133,16,1.41,0:11:52,No,0:00:18,2.53%,74.00%,1,1,1,0,0,0,1,0,0,0,0
,-jf3HTeMwgs,Death Saves in D&D 5e are terrible.,8,"Mar 25, 2023",2013,361,119.678,23.0418,35,5,97.97,3,145,1,38,55.74,0:03:34,37,41366,3.29,1213,8,0.66,0:06:24,Yes,0:00:28,7.29%,69.00%,1,1,0,0,0,1,0,0,0,0,0
,FGyB4Y4pFP4,D&D 5e has too many rules.,9,"Apr 1, 2023",9495,1675,1187.3158,231.4521,74,49,96.36,24,636,0,262,33.7,0:07:30,262,215406,2.66,2060,11,0.53,0:22:16,Yes,0:00:22,1.65%,65.00%,1,1,0,0,0,1,0,0,1,0,0
,llarWtzlDi8,How to GM gods,10,"Apr 8, 2023",374,65,32.9379,7.2286,3,2,100,0,40,0,3,50.09,0:05:17,3,9781,2.36,215,3,1.4,0:10:33,No,0:00:18,2.84%,69.00%,1,0,0,0,0,0,0,0,0,0,0
,gFHrTdPx-Ao,The BEST worldbuilding tool,11,"Apr 15, 2023",2140,395,163.7851,31.5,11,28,99.43,1,174,1,44,32.88,0:04:35,43,43488,3.16,473,3,0.63,0:13:58,No,0:00:27,3.22%,64.00%,1,1,0,0,0,0,0,0,0,0,1
,CQ9yZF-yG_Q,Stop fudging your dice.,12,"Apr 22, 2023",492,113,64.7677,13.1117,11,4,93.1,4,54,0,3,48.02,0:07:53,3,11380,2.55,249,1,0.4,0:16:27,No,0:01:02,6.28%,70.00%,1,0,0,0,0,0,0,0,0,0,0
,HzUNlGAXtcs,My Top 5 DM Tools,13,"Apr 29, 2023",1618,320,127.9615,26.4936,22,7,98,3,147,1,37,49.77,0:04:44,36,28162,3.91,664,3,0.45,0:09:32,No,0:00:17,2.97%,71.00%,1,0,1,1,0,0,0,0,0,0,0
,62os2YGtKhc,D&D 5e dice are BORING.,14,"May 6, 2023",940,200,57.6703,11.609,18,5,94.26,7,115,0,15,56.92,0:03:40,15,16218,3.82,553,5,0.9,0:06:28,Yes,0:00:24,6.19%,72.00%,1,1,0,0,0,1,1,0,0,0,0
,Qr_r3D9jBQw,D&D 5e combat is too slow.,15,"May 14, 2023",2129,461,181.1507,41.7529,22,13,97.63,4,165,2,24,49.01,0:05:06,22,31769,4.44,934,7,0.75,0:10:25,Yes,0:00:26,4.16%,68.00%,1,1,0,0,0,1,1,0,0,0,0
,bv9OkYBi48Y,The ‘Skills Problem’ in D&D 5e,16,"May 21, 2023",764,143,33.475,6.8774,13,0,93.9,5,77,0,9,64.65,0:02:37,9,14110,3.45,629,7,1.11,0:04:04,Yes,0:00:39,15.98%,75.00%,1,1,0,0,0,1,0,1,0,0,0
,pG99xs-tilc,What is Tabletop Sandbox?,17,"May 28, 2023",533,95,29.7824,5.409,13,3,96.83,2,61,0,13,45.51,0:03:21,13,8152,4.18,274,2,0.73,0:07:22,No,0:00:22,4.98%,65.00%,0,0,0,0,1,0,0,0,0,0,0
,n52nMUoeK1Y,STOP using hit points in your D&D game.,18,"Jun 4, 2023",1718,341,168.1521,35.9098,17,10,96.45,5,136,0,15,47.3,0:05:52,15,28464,3.87,637,2,0.31,0:12:25,Yes,0:00:31,4.16%,70.00%,1,1,0,0,0,1,0,1,0,0,0
,mpjmUfR9OgA,Don't prep your whole campaign yet.,19,"Jun 11, 2023",979,184,80.3576,16.2916,9,2,98.88,1,88,1,16,42.46,0:04:55,15,17525,3.78,396,3,0.76,0:11:36,No,0:00:25,3.59%,68.00%,1,0,0,0,0,0,0,0,0,0,0
,9Q0zItpRE0w,Make your D&D campaign IMMERSIVE.,20,"Jun 18, 2023",1605,300,107.7425,23.5457,8,7,98.97,1,96,0,27,41.81,0:04:01,27,31696,3.19,633,3,0.47,0:09:38,Yes,0:00:26,4.50%,66.00%,1,0,0,0,0,1,0,0,0,0,0
,1x6EOt5gEE0,The BEST way to EXPLORE in D&D,21,"Jun 25, 2023",738,162,93.4703,23.3164,8,1,100,0,77,0,7,37.4,0:07:35,7,13576,3.3,220,2,0.91,0:20:19,Yes,0:00:21,1.72%,67.00%,1,1,0,0,0,1,0,0,0,0,0
,OEmMkX1I1As,The BEST way to create NPCs for your D&D game.,22,"Jul 2, 2023",538,103,52.1339,13.3999,6,3,96.83,2,61,0,11,37.18,0:05:50,11,9958,3.41,178,1,0.56,0:15:43,Yes,0:00:32,3.39%,66.00%,1,0,0,0,0,1,0,0,0,0,0
,cojDsnvRLOY,How to run a sandbox game,23,"Jul 9, 2023",690,145,80.8171,20.3961,8,1,98.7,1,76,0,3,35.43,0:07:01,3,10773,3.96,217,2,0.92,0:19:50,No,0:00:29,2.44%,59.00%,1,0,1,0,0,0,0,0,0,0,0
,nNW77NauX8s,Make magic EPIC again in your TTRPG,24,"Jul 16, 2023",389,86,40.9158,10.197,12,1,97.83,1,45,0,2,41.07,0:06:18,2,7241,3.25,135,2,1.48,0:15:22,No,0:03:25,22.23%,65.00%,1,0,0,0,0,0,0,0,0,0,0
,rwBEs14xL4E,Make Player Backstories Not Suck,25,"Jul 23, 2023",261,69,39.1147,11.9239,16,1,100,0,41,0,3,49.32,0:08:59,3,3817,4.3,147,0,0,0:18:14,No,0:00:31,2.83%,69.00%,1,0,0,0,0,0,0,0,0,0,0
,VWdoKr5yksw,My Favorite Dungeon Making Tool,26,"Jul 30, 2023",581,129,76.0413,19.8085,12,6,100,0,78,1,11,32.36,0:07:51,10,6562,5.49,241,3,1.24,0:24:16,No,0:00:37,2.54%,60.00%,1,1,0,0,0,0,0,0,0,1,0
,i7aSz2MUPzo,I went to GenCon!,27,"Aug 6, 2023",236,45,20.4072,4.6479,3,3,100,0,35,2,2,35.62,0:05:11,0,4271,3.82,0,0,NULL,0:14:34,No,0:00:17,1.95%,68.00%,0,0,0,0,1,0,0,0,0,0,0
,-zFe08XmQ7M,Blades in the Dark stole my heart.,28,"Aug 13, 2023",549,110,75.4513,16.5175,19,5,100,0,77,0,10,36.38,0:08:14,10,7291,4.58,162,0,0,0:22:40,No,0:00:42,3.09%,66.00%,1,1,0,0,0,0,0,1,0,0,0
,ZGXjjwS-WOk,Run a one-shot that's actually satisfying (5 STEPS),29,"Aug 20, 2023",285,46,28.2106,5.9822,2,2,100,0,37,0,1,39.33,0:05:56,1,13062,1.39,0,0,NULL,0:15:06,No,0:00:50,5.52%,66.00%,1,0,1,0,0,0,0,0,0,0,0
,ykAhdqmZma4,Start your campaign the CORRECT way,30,"Aug 27, 2023",359,66,35.1319,8.0722,6,0,100,0,43,0,2,39.81,0:05:52,2,6545,3.3,112,0,0,0:14:45,No,0:00:33,3.73%,64.00%,1,0,0,0,0,0,0,0,0,0,0
,Sum,,,,37314,7220,3563.1788,753.0191,428,189,,76,3311,11,721,,,710,685058,,14374,152,,6:26:40,,0:18:42,,,,,,,,,,,,,
,Average,,,,1243.8,240.6666667,118.7726267,25.10063667,14.26666667,6.3,98.09933333,2.533333333,110.3666667,0.3666666667,24.03333333,45.50333333,0:05:30,23.66666667,22835.26667,3.797333333,479.1333333,5.066666667,1.068571429,0:12:53,30.00%,0:00:37,4.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Views per Category:,"1,305.18","2,190.36","1,405.00","1,618.00",384.50,"2,215.56","2,032.00","1,010.33","9,495.00",581.00,"2,140.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Impressions per Category:,"24,022.68","41,651.91","22,979.50","28,162.00","6,211.50","44,729.22","29,302.67","16,621.67","215,406.00","6,562.00","43,488.00"